cycle,state_id,value
0,7cc6d9c3,0.896731085425682
2,b9aa0417,0.8957525434335731
4,b0829c6c,1.0618703565425092
4,98087a8c,0.6979668286938461
5,1e3e237d,0.777439517710379
5,040725ee,0.7890924536606004
6,1a53e649,0.9358505927541029
6,4d8e2185,1.0993909941125386
6,2b4515a9,0.9902844492960403
6,cc707312,0.779292784087308
6,e5a6eeb8,0.7529276029415864
7,622a29e6,0.91210474716488
8,c720da9b,0.781904643607292
8,2b32a703,0.7935550228293831
8,e67295a5,1.0989867714343025
8,e49e9dda,1.1679884265071092
9,8de546bc,1.2498696144114205
9,29048df0,0.8856445603283561
9,0ef8cb4c,1.3114374597684662
10,6079f84c,1.519944974986274
11,a93b21df,1.5768549182121203
11,ff671d28,0.9176668936160958
12,8e4573bf,0.785347082100503
12,98970cf3,1.1043662913887198
13,4d338180,1.020449611071409
14,14d05559,0.7750926076016164
14,85685ceb,1.130923031988006
14,1b647a9a,0.7858181604917505
14,6c226395,0.9985996109776879
15,2d7a1027,1.2281134095462256
15,24e4774e,1.715312172690891
15,78e171ed,0.9280803194788176
17,390899eb,0.7717607594529622
17,dc8a3086,1.2136039885760121
17,3f5956a8,1.6899101831047558
17,c96247af,1.1422708677202789
18,fe13fb3f,1.1437571157634083
18,0517f601,0.9667512601902688
19,16e9af5e,1.1903081678555492
19,57cbd741,0.9426981747934472
20,541095b3,1.4022162163509135
20,aa0f8c93,1.8725256060208855
20,41f8755f,1.298505374920466
20,82a816d3,1.477336042746024
20,b8b90835,1.9888454788378218
21,a7404375,1.51570011355816
22,375c4646,1.2760952344710657
22,0c95c227,2.063758347597891
22,1dc5e3a6,2.1374728495423527
22,84b397ff,1.4782158392339075
22,4bcb71f7,1.0003562289252965
22,16c463d8,1.3839474978450137
23,c077a01a,2.2856894613111103
23,d2deb22d,1.370055515090633
23,efa14c8e,1.5136966045357905
23,83aa68df,1.5965233719683691
24,5cbab58b,1.6539521190282236
24,ddcd6c5c,1.6184566317494316
24,9106fc9b,1.7642880871493454
25,cb4d5c74,1.6995511019079454
25,81e09949,1.606286792295884
25,9784a37e,1.891439291104977
25,cbeaae99,2.301061924668012
25,b26ccdb7,1.952304762306835
26,8df86c2a,1.6897529952288541
26,6d1e2cf9,2.3136352936014095
26,65ae3290,1.7967951622220528
26,d73d1b8c,1.0186332568633516
27,5ff1a6b9,0.9378105374449652
27,c908841e,1.8851937447349034
27,7d5aaede,2.6594871011058117
28,4b33432d,2.6362592246120853
28,ecbb16b4,1.1912088805639995
28,b47f6603,3.398621887047304
28,308fe288,0.9632466356347019
29,1aa569bc,1.9105207727031657
29,2c7ea3b8,3.211346657230087
30,e90088e3,3.3714120315618277
30,85e95a63,1.312663572727504
31,3d5ef496,1.888861550534118
32,eb82963c,2.057173691800716
33,0e831486,1.9813722032411274
33,1d7aa3f4,1.8771103180775692
33,b76fb761,2.084864117760861
34,a9d60f45,2.0532550638915485
34,afcc5f28,1.9915199052418275
34,661edc4d,1.9309253221089002
34,803c11b5,3.448622033135412
35,2683f014,1.0839156499842826
36,012033a9,2.118984880403976
37,000d74be,1.0651708176630421
37,237b38d4,2.2948573471604177
38,eae3ae19,2.1664246720886973
38,ad2ec878,1.0536671491375051
38,7191b5e9,3.637246496361432
38,c0938e72,2.30199936772555
39,489fb58a,2.4970434240035377
39,9806a39d,2.547864280803197
39,d04d494a,2.1133473471880606
39,a4886b23,3.6773410304069047
39,0423a1ea,2.320774892175188
40,ad23dc63,3.1846387805601686
40,41850252,3.1863165310730204
40,6279efae,3.8258018688659923
41,24310752,2.242036271841501
41,064ad5f1,1.130044342033522
41,f2934080,3.5980249417733936
41,37c57e03,4.083903643490534
42,ba4497a6,2.415388915622527
42,46243c44,3.4794787246189665
42,6a6b28cb,1.302141916924157
42,f5592523,3.5378850272930777
42,96aef168,2.4570464260884055
43,fdb5b008,1.1518954881852521
44,4488d289,2.5400824667733697
44,6bd1586b,4.165349026132636
44,ee8f68ee,4.108648322050307
44,cd454895,2.5366650766963033
45,487aae4c,4.470122653462013
46,1e31645f,4.578199916736954
46,ebe466a8,3.6347627706919594
46,86e3ae99,1.2936524600369526
47,abc456ee,3.5373558823199542
47,84214c72,1.5391760966948287
47,cb1c4bc1,2.3996202326470217
47,71386ca0,4.370113017037084
48,b0495d60,2.5552461680226637
48,e8a444c5,2.7079498773337964
48,32996a86,1.1514524139706108
48,c9e19c36,3.111222494751141
49,beaaf480,3.8766246901582964
49,ee8a2e07,3.254640505117767
50,f2957e6c,1.5319737665697737
50,e3dad20f,1.7257434330686634
50,9dbea1f8,1.6501344954958597
51,36246e90,1.379438039523996
51,b8b43c12,1.523945056768754
52,1498d354,3.210700997905176
53,71757d47,0.7939355473272453
53,41b9b715,1.5025044012693078
53,128a89ff,1.8666057413323336
53,fa79e183,4.774612052491632
54,7078681e,1.8735634167089323
54,8418036c,1.010227975520937
54,c4ecddf0,4.5306127288978
55,b7122685,1.113862897746367
55,88c731df,2.1035162414982693
55,f62f1326,3.9536896118040055
55,d7a8f54a,4.869529822186534
56,65a8f985,5.2522409387957465
56,36f3ae82,3.823985465131469
56,74e740af,2.094218085435097
57,81374303,5.152448061535028
57,beb7c4b0,2.2427977293587045
58,b0d316de,3.5225795770662818
58,85333759,4.189547777295471
58,2c5a3b8e,1.154480293075314
59,6366e32e,1.7764822551239474
59,577bd8fb,3.1613700207524436
60,8bd04049,1.2707093905343532
61,cf95f578,3.642997851548387
61,648011c0,3.8131393849927493
62,f00a7b2a,3.3508422650482594
62,4ac805ec,1.211725372187187
62,6e1dde47,2.149598882433004
62,cc0e5178,5.351520021857597
63,19b7ca32,5.540340422928756
63,0386ce7f,3.8577994127028132
63,12296e4c,3.147412203435674
64,5d8f7979,2.3245888179966685
64,7a48888c,3.619986373327942
64,1f06654a,3.736066895168503
65,8f433948,1.694265507948564
65,8b434c24,5.776363538761493
65,148b8036,3.6870542243091053
66,2dd69553,4.049658132588664
66,61e0565f,1.3476869786436225
67,f6468483,5.883488857282509
67,ae99abdf,5.8299900951493635
67,e92debaa,1.7877654733895385
68,55645b96,3.7241358506664
68,99a0fec7,4.549851615453124
69,4b37a25f,4.172291550679391
69,68964afd,1.1533648487084043
69,d5070241,1.0421442321302894
70,6d2aa76f,5.88781346918651
71,347371e7,5.5154697664534575
71,80c9160c,3.856542156597789
71,2a1cc018,4.803364716552216
71,151e007b,2.3315901255656137
72,eeabd864,1.7898767713003383
72,a8201488,0.7994699698090122
73,8e9758c7,4.093665111445871
74,e5ed2c9b,4.531826484532126
75,126d869c,4.0384311618823965
76,4cdd1dc1,4.058985191646415
77,9f72ca4a,4.364762802689689
78,48bf9325,5.007402209879156
78,87427974,5.65631129186833
78,1d85347f,6.183393255844743
78,66770033,4.305252380127444
79,7d0ddf61,2.105193430103136
79,abc16b57,2.667002865006549
79,fcc448de,2.0894753856074457
80,16c7fe13,4.225493537505204
80,d29c5939,1.3204806138944876
80,b5e8a1b6,3.080271704015019
80,a44bddae,4.6289773429656655
81,60efea9b,4.309488714469376
82,50dbf8b1,1.4125889167572272
82,cba852af,6.476626967925005
83,d8ea74bc,2.277995521075851
83,79073579,1.396491442013425
84,378ba61e,4.2966439538854315
84,b29fdfef,1.2810780641125747
84,988e1f8e,4.508473399428236
85,4d58cd52,1.6461143644330332
85,e24a1928,4.706744004378088
85,48844e24,4.888582986668252
86,f297bb37,5.068330417405288
86,af017c64,1.1974937659813198
86,7504babf,5.051263588840602
87,35ae0d32,4.259674106979408
87,bbdb871c,1.7565597569119957
87,4c15a92a,4.692547810522795
87,cd8c071a,4.96485870091411
88,d43885d7,2.274912715811359
89,560c3994,4.399706677136447
89,8e92dd48,5.099972209796299
90,8ac69704,5.622982605310816
90,37571102,4.754531399130244
90,b3e5f466,5.922393757765482
91,fb6514cd,5.071923640571088
91,2ccac022,6.427148587928617
91,b2704aea,4.74795197973404
91,02e97198,4.397317499265809
92,30f76090,1.2787495303044192
93,ede48d57,5.902664643721396
93,6d5cb558,2.40873580298218
93,f9b7afce,6.686261582995252
93,31b7eba0,6.5649460484242255
94,48763a0b,0.7881571162930375
94,6e832fd5,3.463038023868514
95,4e8c6806,6.80252485205669
95,2892c17b,2.484398720680588
95,39a9e58d,6.907424241789615
95,1a45749f,2.442351563149874
96,913a1c8f,2.9980648204930946
96,b39848dc,1.4192209340295123
96,0c91a477,5.5846384930394715
96,31ccf44f,6.822788770815766
97,30562c6b,1.4193911657769311
98,09630619,5.524043361288294
98,cc9c388d,1.2912266599885522
99,09ef4acd,7.4556012405495675
99,fe63ae12,4.6789397481569805
99,e1093d0c,5.152766877989201
